title,creator,date,description,coverage,subject,latitude,longitude,type,format,donor,object-id,repo-id
Logs & Logging [02],,1915,Logs on the way to the mill at Potlatch.,United States--Idaho--Latah County--Potlatch,logs; railroad cars,46.916386,-116.900083,Image;StillImage,image/jpg,Potlatch Corporation,24,plcphotos
Logs & Logging [01],,1915,Logs on the way to the mill at Potlatch.,United States--Idaho--Latah County--Potlatch,logs; railroad cars; buildings,46.916386,-116.900083,Image;StillImage,image/jpg,Potlatch Corporation,25,plcphotos
Logs & Logging [05],,1915,Railway car of logs on the way to the Potlatch Mill.,United States--Idaho--Latah County--Potlatch,logs; railroad cars; buildings,46.916386,-116.900083,Image;StillImage,image/jpg,Potlatch Corporation,26,plcphotos
Logs & Logging [03],,1920,Logs on a W.I.M. flat car at the Potlatch Lumber Company Log Pond.,United States--Idaho--Latah County--Potlatch,logs; railroad cars; buildings,46.916386,-116.900083,Image;StillImage,image/jpg,Potlatch Corporation,27,plcphotos
W.J. Gamble's winter pictures [12],,1939,Lumber yard in winter.,United States--Idaho--Latah County--Potlatch,winter; lumber,46.916833,-116.897616,Image;StillImage,image/jpg,Potlatch Corporation,28,plcphotos
Logs & Logging [06],,1915,Logs loaded on a railway flat car in Potlatch.,United States--Idaho--Latah County--Potlatch,logs; railroad cars; buildings,46.916386,-116.900083,Image;StillImage,image/jpg,Potlatch Corporation,29,plcphotos
Logs & Logging [07],,1920,Logs on a W.I.M. flat car at the Potlatch Lumber Company Log Pond.,United States--Idaho--Latah County--Potlatch,logs; railroad cars; buildings; rivers,46.916386,-116.900083,Image;StillImage,image/jpg,Potlatch Corporation,30,plcphotos
Canadian Pacific Railroad Company,,1920,View of several CP box cars and a Pres-to-logs box car.,United States--Idaho--Latah County--Potlatch,railroad cars; advertising; fields,46.916386,-116.900083,Image;StillImage,image/jpg,Potlatch Corporation,31,plcphotos
Logging Equipment [06],,1936,"'""The Potlatch Navy', a multipurpose craft used as an icebreaker, pile driver, skyline rig and sea-going donkey engine on the pond on a railway flatcar.""",United States--Idaho--Latah County--Potlatch,railroad cars; workers; mountains; equipment,46.916386,-116.900083,Image;StillImage,image/jpg,Potlatch Corporation,32,plcphotos
Logging Equipment [05],,1936,"'""The Potlatch Navy', a multipurpose craft used as an icebreaker, pile driver, skyline rig and sea-going donkey engine on the pond, preparing to off-load the barge.""",United States--Idaho--Latah County--Potlatch,railroad cars; workers; mountains; equipment,46.918481,-116.894842,Image;StillImage,image/jpg,Potlatch Corporation,33,plcphotos
Interior view of office,,1942,Secretary and clerk in an office.,United States--Idaho--Latah County--Potlatch,interiors; workers; offices,46.921395,-116.901443,Image;StillImage,image/jpg,Potlatch Corporation,34,plcphotos
Logging Equipment [04],,1936,"'""The Potlatch Navy', a multipurpose craft used as an icebreaker, pile driver, skyline rig and sea-going donkey engine on the pond launching the barge in the pond.""",United States--Idaho--Latah County--Potlatch,mountains; workers; barge; river,46.918481,-116.894842,Image;StillImage,image/jpg,Potlatch Corporation,35,plcphotos
Logging Equipment [03],,1936,The multipurpose craft being transported on a railway flatcar.,United States--Idaho--Latah County--Potlatch,workers; railway cars; equipment,46.918481,-116.894842,Image;StillImage,image/jpg,Potlatch Corporation,36,plcphotos
Logs & Logging [04],,1920,Typical lag yard and sawmill,United States--Idaho--Latah County--Potlatch,sawmills; logs,46.932564,-116.807692,Image;StillImage,image/jpg,Potlatch Corporation,37,plcphotos
Logging [13],,1920,An old-timer hand sawing lumber in Alaska,United States--Idaho--Latah County--Potlatch,lumber jack; mountains,46.932564,-116.807692,Image;StillImage,image/jpg,Potlatch Corporation,38,plcphotos
Logging [20],,1946,Logs loaded on a truck and transported to the pond.,United States--Idaho--Latah County--Potlatch,logging trucks,46.916386,-116.900083,Image;StillImage,image/jpg,Potlatch Corporation,39,plcphotos
Logging [14],,1946,Logs loaded on a truck and transported to the pond.,United States--Idaho--Latah County--Potlatch,logging trucks; workers,46.916386,-116.900083,Image;StillImage,image/jpg,Potlatch Corporation,40,plcphotos
Logging [27],,1946,Logs loaded on a truck and transported to the pond.,United States--Idaho--Latah County--Potlatch,logging trucks; workers,46.916386,-116.900083,Image;StillImage,image/jpg,Potlatch Corporation,41,plcphotos
Logging [26],,1946,Logs loaded on a truck and transported to the pond.,United States--Idaho--Latah County--Potlatch,logging trucks; workers,46.916386,-116.900083,Image;StillImage,image/jpg,Potlatch Corporation,42,plcphotos
Logging [29],,1955,A fully loaded logging truck arriving at the mill.,United States--Idaho--Latah County--Potlatch,logging trucks,46.916386,-116.900083,Image;StillImage,image/jpg,Potlatch Corporation,43,plcphotos
Potlatch Lumber Company Log Pond,,1937,View of the upper log pond,United States--Idaho--Latah County--Potlatch,ponds; logs; mountains,46.916386,-116.900083,Image;StillImage,image/jpg,Potlatch Corporation,44,plcphotos
Lumber yard [02],,1928-01-21,View of lumber yard in winter.,United States--Idaho--Latah County--Potlatch,lumber yards; mountains;,46.918319,-116.903243,Image;StillImage,image/jpg,Potlatch Corporation,45,plcphotos
Logging [17],,1946,Logs loaded on a truck and transported to the pond.,United States--Idaho--Latah County--Potlatch,logging trucks,46.916386,-116.900083,Image;StillImage,image/jpg,Potlatch Corporation,46,plcphotos
Logging Equipment [01],,1940,Osgood Loader at the mill.,United States--Idaho--Latah County--Potlatch,equipment; workers; cranes,46.915785,-116.900169,Image;StillImage,image/jpg,Potlatch Corporation,47,plcphotos
Logging Equipment [02],,1940,Crane lifting logs out of the pond.,United States--Idaho--Latah County--Potlatch,equipment; cranes; buildings,46.916386,-116.900083,Image;StillImage,image/jpg,Potlatch Corporation,48,plcphotos
Logging [24],,1924,Inclined railroad in a logging area.,United States--Idaho--Latah County--Potlatch,railroad tracks; mountains; forest,46.916386,-116.900083,Image;StillImage,image/jpg,Potlatch Corporation,49,plcphotos
"Spokesman Review Trip, June 8, 1954",,1954-06-08,Group by dam and waterfall,United States--Washington--Spokane County--Spokane,group portrait; mountains; dams; water falls,46.896258,-117.359508,Image;StillImage,image/jpg,Potlatch Corporation,50,plcphotos
"Spokesman Review Trip, June 8, 1954 [03]",,1954-06-08,Group from Spokesman Review on Steptoe Butte,United States--Washington--Whitman County--Garfield,fields; group portrait,47.032392,-117.299641,Image;StillImage,image/jpg,Potlatch Corporation,51,plcphotos
"Spokesman Review Trip, June 8, 1954 [06]",,1954-06-08,Group in the St. Joe National forest.,United States--Idaho--Latah County--Saint Joe National Forest,forests; photographers,46.977894,-116.667595,Image;StillImage,image/jpg,Potlatch Corporation,52,plcphotos
"Spokesman Review Trip, June 8, 1954 [05]",,1954-06-08,Two men photographing wild flowers.,United States--Idaho--Latah County--Saint Joe National Forest,highways; photographers,46.977894,-116.667595,Image;StillImage,image/jpg,Potlatch Corporation,53,plcphotos
"Spokesman Review Trip, June 8, 1954 [04]",,1954-06-08,"Group picture taken at Benewah County line, St. Joe National Forest.",United States--Idaho--Benewah County,group portrait; forest,46.977894,-116.667595,Image;StillImage,image/jpg,Potlatch Corporation,54,plcphotos
"Spokesman Review Trip, June 8, 1954 [02]",,1954-06-08,The road to Steptoe Butte.,United States--Washington--Whitman County--Garfield,automobiles; roads; fields,47.032182,-117.299641,Image;StillImage,image/jpg,Potlatch Corporation,55,plcphotos
Fork-lift truck,,1945,Operator of fork lift truck stacking lumber in yard.,United States--Idaho--Latah County--Potlatch,lumber; workers; forklift trucks,46.918319,-116.903243,Image;StillImage,image/jpg,Potlatch Corporation,56,plcphotos
"Spokesman Review Trip, June 8, 1954 [01]",,1954-06-08,At the P.F. I. log pond.,United States--Idaho--Latah County--Potlatch,logs; equipment; workers,46.921603,-116.913564,Image;StillImage,image/jpg,Potlatch Corporation,57,plcphotos
Palouse River Valley Rural Fire Protection District,,1905-05-07,Truck belonging to Potlatch Station No. 1.,United States--Idaho--Latah County--Potlatch,fire truck,46.92156,-116.898219,Image;StillImage,image/jpg,Potlatch Corporation,58,plcphotos
W.J. Gamble's winter pictures [10],,1949,Snow in the lumber yard.,United States--Idaho--Latah County--Potlatch,winter; lumber; workers; trucks,46.916833,-116.897616,Image;StillImage,image/jpg,Potlatch Corporation,59,plcphotos
Proposed Potlatch Runway site,,1905-05-10,Aerial view of the mill with the proposed location of a runway drawn in ink.,United States--Idaho--Latah County--Potlatch,aerial photograph,46.926526,-116.913371,Image;StillImage,image/jpg,Potlatch Corporation,60,plcphotos
"Cedar Mountain Lookout tower, 1917 [02]",,1917,"The tower was completed in the fall of 1916.  The lower part is used for living quarters, the upper for fire detection.",United States--Idaho--Bonner County,lookout,47.013846,-116.578674,Image;StillImage,image/jpg,Potlatch Corporation,61,plcphotos
Relief map of Potlatch area [02],,1917,"Unidentified- possible of the Potlatch, Idaho area.",United States--Idaho--Latah County--Potlatch,maps,46.92156,-116.898219,Image;StillImage,image/jpg,Potlatch Corporation,62,plcphotos
Relief map of Potlatch area [03],,1917,"Unidentified- possible of the Potlatch, Idaho area.",United States--Idaho--Latah County--Potlatch,maps,46.92156,-116.898219,Image;StillImage,image/jpg,Potlatch Corporation,63,plcphotos
Relief map of Potlatch area [04],,1917,"Unidentified- possible of the Potlatch, Idaho area.",United States--Idaho--Latah County--Potlatch,maps,46.92156,-116.898219,Image;StillImage,image/jpg,Potlatch Corporation,64,plcphotos
"Cedar Mountain Lookout tower, 1917 [01]",,1917,"The tower was completed in the fall of 1916.  The lower part is used for living quarters, the upper for fire detection.",United States--Idaho--Bonner County,lookout,47.013846,-116.578674,Image;StillImage,image/jpg,Potlatch Corporation,65,plcphotos
Relief map of Potlatch area [01],,1917,"Unidentified- possible of the Potlatch, Idaho area.",United States--Idaho--Latah County--Potlatch,maps,46.92156,-116.898219,Image;StillImage,image/jpg,Potlatch Corporation,66,plcphotos
Lumber yard & pond,,1936,View of lumber stacked in yard.,United States--Idaho--Latah County--Potlatch,lumber,46.918319,-116.903243,Image;StillImage,image/jpg,Potlatch Corporation,67,plcphotos
Cyclone Seed Sower [01],,1930,Close-up of Cyclone Seed Sower.,United States--Idaho--Latah County--Princeton,machinery; winter,46.934671,-116.794538,Image;StillImage,image/jpg,Potlatch Corporation,68,plcphotos
Cyclone Seed Sower [02],,1930,G.B. Ringold operating the seeder.,United States--Idaho--Latah County--Princeton,workers; machinery; winter,46.934671,-116.794538,Image;StillImage,image/jpg,Potlatch Corporation,69,plcphotos
"Solar eclipse, June 8,1918 [01]",,1918-06-08,Viewing box inscribed with the names of those who watched the eclipse.,United States--Idaho--Latah County--Potlatch,solar eclipse,46.927377,-116.902664,Image;StillImage,image/jpg,Potlatch Corporation,70,plcphotos
W.I. & M. Locomotives,,1917,Washington Idaho and Montana Railway Co. Locomotive #1.,United States--Idaho--Latah County--Potlatch,railroad tracks; railroad stations; locomotives,46.921354,-116.901881,Image;StillImage,image/jpg,Potlatch Corporation,71,plcphotos
"Solar eclipse, June 8,1918 [02]",,1918-06-08,Multiple exposure showing phases of the eclipse,United States--Idaho--Latah County--Potlatch,solar eclipse,46.927377,-116.902664,Image;StillImage,image/jpg,Potlatch Corporation,72,plcphotos
Locomotive (Shay) No. 103 [02],,1913,Engine in process of being dismantled.,United States--Idaho--Latah County--Potlatch,locomotives,46.921354,-116.901881,Image;StillImage,image/jpg,Potlatch Corporation,73,plcphotos
Locomotive (Shay) No. 103 [01],,1910,Several men looking at debris around a shay engine.,United States--Idaho--Latah County--Potlatch,debris; locomotives,46.921354,-116.901881,Image;StillImage,image/jpg,Potlatch Corporation,74,plcphotos
W.J. Gamble's winter pictures [11],,1939,View of snow covered lumber yard.,United States--Idaho--Latah County--Potlatch,winter; buildings; lumber,46.916833,-116.897616,Image;StillImage,image/jpg,Potlatch Corporation,75,plcphotos
W.I. & M. Locomotives No. 22,,1915,Four men posed on the engine of a logging train.,United States--Idaho--Latah County--Potlatch,trains; workers; logs,46.921354,-116.901881,Image;StillImage,image/jpg,Potlatch Corporation,76,plcphotos
W.J. Gamble's winter pictures [04],,1939,Logs piled beside the railway line.,United States--Idaho--Latah County--Potlatch,logs; railroad tracks; workers,46.916679,-116.899437,Image;StillImage,image/jpg,Potlatch Corporation,77,plcphotos
Lumber yard & pond [01],,1936,View of lumber stacked in yard.,United States--Idaho--Latah County--Potlatch,lumber,46.918319,-116.903243,Image;StillImage,image/jpg,Potlatch Corporation,78,plcphotos
Potlatch Lumber Company Locomotives Shay [04],,1938,Views of the dismantling of a shay engine.,United States--Idaho--Latah County--Potlatch,locomotives,46.921354,-116.901881,Image;StillImage,image/jpg,Potlatch Corporation,79,plcphotos
Potlatch Lumber Company Locomotives Shay [05],,1938,Views of the dismantling of a shay engine.,United States--Idaho--Latah County--Potlatch,locomotives; workers,46.921354,-116.901881,Image;StillImage,image/jpg,Potlatch Corporation,80,plcphotos
Locomotive (Shay) No. 106,,1915,Two of the shay locomotives which were scrapped,United States--Idaho--Latah County--Potlatch,locomotives; scrap metal,46.921354,-116.901881,Image;StillImage,image/jpg,Potlatch Corporation,81,plcphotos
Potlatch Lumber Company Locomotives Shay [07],,1938,Views of the dismantling of a shay engine.,United States--Idaho--Latah County--Potlatch,cranes,46.921354,-116.901881,Image;StillImage,image/jpg,Potlatch Corporation,82,plcphotos
Potlatch Lumber Company Locomotives Shay [02],,1938,Views of the dismantling of a shay engine.,United States--Idaho--Latah County--Potlatch,cranes,46.921354,-116.901881,Image;StillImage,image/jpg,Potlatch Corporation,83,plcphotos
Potlatch Lumber Company Locomotives Shay [03],,1938,Views of the dismantling of a shay engine.,United States--Idaho--Latah County--Potlatch,scrap metal; railroad cars,46.921354,-116.901881,Image;StillImage,image/jpg,Potlatch Corporation,84,plcphotos
Potlatch Lumber Company Locomotives Shay [01],,1938,Views of the dismantling of a shay engine.,United States--Idaho--Latah County--Potlatch,scrap metal,46.921354,-116.901881,Image;StillImage,image/jpg,Potlatch Corporation,85,plcphotos
Potlatch Lumber Company Locomotives Shay [06],,1938,Views of the dismantling of a shay engine.,United States--Idaho--Latah County--Potlatch,scrap metal,46.921354,-116.901881,Image;StillImage,image/jpg,Potlatch Corporation,86,plcphotos
Logging [02],,1923,"Stand of sixteen year old larch north of Dover, Idaho",United States--Idaho--Bonner County,forests; automobiles,48.258852,-116.624765,Image;StillImage,image/jpg,Potlatch Corporation,87,plcphotos
Locomotive (Shay) No. 107,,1915,Two of the shay locomotives which were scrapped,United States--Idaho--Latah County--Potlatch,locomotives; scrap metal,46.921354,-116.901881,Image;StillImage,image/jpg,Potlatch Corporation,88,plcphotos
Lumber yard & pond [02],,1936,View of lumber yard.  Note railway tracks running between stacked lumber.,United States--Idaho--Latah County--Potlatch,lumber; railroad tracks,46.918319,-116.903243,Image;StillImage,image/jpg,Potlatch Corporation,89,plcphotos
Logging [08],,1923,"40-45 year old reproduction of white pine 1 1/2 miles north of Clarkia, Idaho",United States--Idaho--Shoshone County--Clarkia,forests; roads,47.013164,-116.251116,Image;StillImage,image/jpg,Potlatch Corporation,90,plcphotos
Logging [21],,1923,"Second growth tamarack, 40 years old, in Kaniksu National Forest Bonner County, Idaho.",United States--Idaho--Bonner County,forests; roads,48.215217,-116.201362,Image;StillImage,image/jpg,Potlatch Corporation,91,plcphotos
Logging [04],,1923,Thirty year old western white pine western larch western yellow pine and white fir.,United States--Idaho--Bonner County,forests; buildings,47.014585,-116.242068,Image;StillImage,image/jpg,Potlatch Corporation,92,plcphotos
Logging [22],,1923,"Yellow pine growth about 100 years old in the lower yellow pine zone, Kaniksu National Forest, Idaho.",United States--Idaho--Bonner County,forests,48.336533,-116.170482,Image;StillImage,image/jpg,Potlatch Corporation,93,plcphotos
Logging [03],,1923,"Disposal of slash after logging is one of the most vexing problems before Idaho lumbermen.  Scene is near St. Joe, Idaho",United States--Idaho--Benewah County--St. Joe,forests,47.006053,-116.512388,Image;StillImage,image/jpg,Potlatch Corporation,94,plcphotos
W.J. Gamble's winter pictures [06],,1939,Lumber piled outside of a shed.,United States--Idaho--Latah County--Potlatch,buildings; lumber; railroad tracks,46.916679,-116.899437,Image;StillImage,image/jpg,Potlatch Corporation,95,plcphotos
A broadcast slash fire is almost always disastrous from a timber growing standpoint [01],,1923,"Idaho white pine type before fall slash fire, near St. Maries, Idaho.",United States--Idaho--Benewah County--St. Maries,forests,47.35975,-116.504002,Image;StillImage,image/jpg,Potlatch Corporation,96,plcphotos
A broadcast slash fire is almost always disastrous from a timber growing standpoint [02],,1923,"After a slash fire, all of the young timber is killed.",United States--Idaho--Bonner County,forests; roads,47.35975,-116.504002,Image;StillImage,image/jpg,Potlatch Corporation,97,plcphotos
"Scene near Fernwood, Idaho [01]",,1923,White pine fir type before the broadcast burn,United States--Idaho--Latah County--Potlatch,forests; logging,47.119554,-116.406627,Image;StillImage,image/jpg,Potlatch Corporation,98,plcphotos
Area of cut-over yellow pine before and after a slash burn [02],,1923,Before slash was burned.,United States--Idaho--Bonner County,forests; loggers,47.119554,-116.406627,Image;StillImage,image/jpg,Potlatch Corporation,99,plcphotos
Lumber yard & pond [03],,1936,Men hoisting logs at the pond.,United States--Idaho--Latah County--Potlatch,trees; workers; ponds; equipment,46.918319,-116.903243,Image;StillImage,image/jpg,Potlatch Corporation,100,plcphotos
"Scene near Fernwood, Idaho [02]",,1923,After the slash fire practically all of the young growth is killed.,United States--Idaho--Latah County--Potlatch,forests; logging,47.119554,-116.406627,Image;StillImage,image/jpg,Potlatch Corporation,101,plcphotos
Yellow pine area in California before and after a slash burn [01],,1923,Before slash was burned.,United States--Idaho--Latah County--Potlatch,forests; loggers,47.119554,-116.406627,Image;StillImage,image/jpg,Potlatch Corporation,102,plcphotos
Area of cut-over yellow pine before and after a slash burn [01],,1923,Same area after burning.,United States--Idaho--Bonner County,forests; loggers,47.119554,-116.406627,Image;StillImage,image/jpg,Potlatch Corporation,103,plcphotos
Yellow pine area in California before and after a slash burn [02],,1923,Same area after burning.,United States--Idaho--Latah County--Potlatch,forests; loggers,47.119554,-116.406627,Image;StillImage,image/jpg,Potlatch Corporation,104,plcphotos
Logging [07],,1923,"Preparing logging debris for disposal on State Forest Land.  By careful burning, cedar, hemlock, and white pine trees around eight and ten inches in diameter are saved and given an opportunity to develop into merchantable size thirty or forty years hence.",United States--Idaho--Bonner County,forests; loggers,46.926101,-116.687336,Image;StillImage,image/jpg,Potlatch Corporation,105,plcphotos
Logging [23],,1923,A crane hoists a log over the side of a ledge. The description on the back of the photograph reads 'early yarding',United States--Idaho--Bonner County--Kaniksu National Forest,forests,46.926101,-116.687336,Image;StillImage,image/jpg,Potlatch Corporation,106,plcphotos
W.J. Gamble's winter pictures [05],,1939,View of snow covered yard.,United States--Idaho--Latah County--Potlatch,winter,46.916679,-116.899437,Image;StillImage,image/jpg,Potlatch Corporation,107,plcphotos
Logging [12],,1923,"On the other  hand, a cutting across the line where the slash has been burned broadcast.  It is easy to see that the broadcast burn does not make the area safe from future fires.  Open the  baking sun and drying winds, the weeks and trash dry out early in the season, twigs from fire killed white fir trees begin to fall and mat the ground and snags are always ready to spread sparks in every direction.  Long before there is any danger in the green timber, devastating fires may run thru these cut-over areas.",United States--Idaho--Bonner County--Kaniksu National Forest,forest fires; notices,48.309667,-116.182433,Image;StillImage,image/jpg,Potlatch Corporation,108,plcphotos
Logging [28],,1923,"By careful brush disposal such as this the advance growth is saved for future cutting, white pine seeds are given a chance to germinate and a reasonable degree of shade is maintained whish is quite a factor in reducing the probability of future fires.",United States--Idaho--Bonner County,forests; loggers,46.926101,-116.687336,Image;StillImage,image/jpg,Potlatch Corporation,109,plcphotos
Logging [10],,1923,White pine seedlings starting at edge of spot where brush pile has been burned.  Brush piles cover 25% or less of the area.  White pine seeds stored in the duff on the reaming 75% have an opportunity to germinate and restock the area.,United States--Idaho--Bonner County,seedlings; hats,46.926101,-116.687336,Image;StillImage,image/jpg,Potlatch Corporation,110,plcphotos
Dry sheds & remanufacturing sheds [03],,1924,Interior of  remanufacturing plant.,United States--Idaho--Latah County--Potlatch,interiors; construction,46.921395,-116.901443,Image;StillImage,image/jpg,Potlatch Corporation,111,plcphotos
"Logging truck, 1948",,1948,Fully loaded logging truck.  Height 12 1/2 feet: 5200 feet on load.,United States--Idaho--Latah County--Potlatch,trucks; workers; logs,46.920429,-116.902041,Image;StillImage,image/jpg,Potlatch Corporation,112,plcphotos
Logging [11],,1923,Logs being hauled out of the woods by a team of horses.,United States--Idaho--Bonner County,loggers; horses; logs,46.926101,-116.687336,Image;StillImage,image/jpg,Potlatch Corporation,113,plcphotos
Logging [19],,1923,The results of a summer fire on cut-over land on the Idaho-Montana line.,United States--Idaho--Bonner County,forest fires; railroad tracks,48.11702,-116.075247,Image;StillImage,image/jpg,Potlatch Corporation,114,plcphotos
W.J. Gamble's winter pictures [15],,1939,View of snow covered lumber yard.,United States--Idaho--Latah County--Potlatch,winter; lumber; buildings,46.917456,-116.899837,Image;StillImage,image/jpg,Potlatch Corporation,115,plcphotos
Logging [15],,1923,Brush piles ready for burning on State timber sale land.,United States--Idaho--Bonner County,forests,46.926101,-116.687336,Image;StillImage,image/jpg,Potlatch Corporation,116,plcphotos
